driver_number,position,date,session_key,meeting_key
1,1,2023-03-04T16:00:52.386000+00:00,7768,1141
2,16,2023-03-04T15:26:33.439000+00:00,7768,1141
4,11,2023-03-04T15:49:08.899000+00:00,7768,1141
10,20,2023-03-04T15:28:56.265000+00:00,7768,1141
11,2,2023-03-04T16:09:01.784000+00:00,7768,1141
14,5,2023-03-04T16:09:11.002000+00:00,7768,1141
16,3,2023-03-04T16:09:01.784000+00:00,7768,1141
18,8,2023-03-04T16:05:27.413000+00:00,7768,1141
20,17,2023-03-04T15:28:56.265000+00:00,7768,1141
21,19,2023-03-04T15:28:56.265000+00:00,7768,1141
22,14,2023-03-04T15:40:23.877000+00:00,7768,1141
23,15,2023-03-04T15:36:45.866000+00:00,7768,1141
24,13,2023-03-04T15:49:08.899000+00:00,7768,1141
27,10,2023-03-04T16:08:34.878000+00:00,7768,1141
31,9,2023-03-04T16:08:34.878000+00:00,7768,1141
44,7,2023-03-04T16:05:25.616000+00:00,7768,1141
55,4,2023-03-04T16:09:11.002000+00:00,7768,1141
63,6,2023-03-04T16:09:11.002000+00:00,7768,1141
77,12,2023-03-04T15:49:08.899000+00:00,7768,1141
81,18,2023-03-04T15:28:56.265000+00:00,7768,1141
1,15,2023-03-18T17:33:08.664000+00:00,7775,1142
2,20,2023-03-18T17:11:11.882000+00:00,7775,1142
4,19,2023-03-18T17:19:05.501000+00:00,7775,1142
10,10,2023-03-18T18:00:05.192000+00:00,7775,1142
11,1,2023-03-18T17:53:35.743000+00:00,7775,1142
14,3,2023-03-18T18:00:44.254000+00:00,7775,1142
16,2,2023-03-18T18:00:44.254000+00:00,7775,1142
18,6,2023-03-18T18:01:04.426000+00:00,7775,1142
20,13,2023-03-18T17:41:07.596000+00:00,7775,1142
21,18,2023-03-18T17:19:05.501000+00:00,7775,1142
22,16,2023-03-18T17:19:24.814000+00:00,7775,1142
23,17,2023-03-18T17:19:24.814000+00:00,7775,1142
24,12,2023-03-18T17:41:07.596000+00:00,7775,1142
27,11,2023-03-18T17:41:07.596000+00:00,7775,1142
31,7,2023-03-18T18:01:04.426000+00:00,7775,1142
44,8,2023-03-18T18:01:04.426000+00:00,7775,1142
55,5,2023-03-18T18:01:04.426000+00:00,7775,1142
63,4,2023-03-18T17:59:28.958000+00:00,7775,1142
77,14,2023-03-18T17:41:07.596000+00:00,7775,1142
81,9,2023-03-18T18:01:04.426000+00:00,7775,1142
1,1,2023-04-01T06:01:55.653000+00:00,7783,1143
2,18,2023-04-01T05:26:05.443000+00:00,7783,1143
4,13,2023-04-01T05:49:09.505000+00:00,7783,1143
10,9,2023-04-01T06:04:25.307000+00:00,7783,1143
11,20,2023-04-01T05:17:44.230000+00:00,7783,1143
14,4,2023-04-01T06:08:14.383000+00:00,7783,1143
16,7,2023-04-01T06:08:02.742000+00:00,7783,1143
18,6,2023-04-01T06:08:11.164000+00:00,7783,1143
20,14,2023-04-01T05:49:09.505000+00:00,7783,1143
21,15,2023-04-01T05:48:50.224000+00:00,7783,1143
22,12,2023-04-01T05:48:50.224000+00:00,7783,1143
23,8,2023-04-01T06:04:25.307000+00:00,7783,1143
24,17,2023-04-01T05:26:05.443000+00:00,7783,1143
27,10,2023-04-01T06:04:25.307000+00:00,7783,1143
31,11,2023-04-01T05:47:50.209000+00:00,7783,1143
44,3,2023-04-01T06:08:14.383000+00:00,7783,1143
55,5,2023-04-01T06:08:14.383000+00:00,7783,1143
63,2,2023-04-01T06:08:11.164000+00:00,7783,1143
77,19,2023-04-01T05:22:44.258000+00:00,7783,1143
81,16,2023-04-01T05:26:05.443000+00:00,7783,1143
1,2,2023-04-28T14:26:17.821000+00:00,9064,1207
2,15,2023-04-28T14:03:40.323000+00:00,9064,1207
4,7,2023-04-28T14:27:22.743000+00:00,9064,1207
10,19,2023-04-28T13:41:22.336000+00:00,9064,1207
11,3,2023-04-28T14:19:00.436000+00:00,9064,1207
14,6,2023-04-28T14:26:44.274000+00:00,9064,1207
16,1,2023-04-28T14:26:17.821000+00:00,9064,1207
18,9,2023-04-28T14:27:06.711000+00:00,9064,1207
20,18,2023-04-28T13:41:44.867000+00:00,9064,1207
21,20,2023-04-28T13:41:22.336000+00:00,9064,1207
22,8,2023-04-28T14:27:22.743000+00:00,9064,1207
23,13,2023-04-28T14:07:36.022000+00:00,9064,1207
24,16,2023-04-28T13:45:50.427000+00:00,9064,1207
27,17,2023-04-28T13:45:50.427000+00:00,9064,1207
31,12,2023-04-28T14:07:36.022000+00:00,9064,1207
44,5,2023-04-28T14:19:11.857000+00:00,9064,1207
55,4,2023-04-28T14:19:00.436000+00:00,9064,1207
63,11,2023-04-28T14:07:36.022000+00:00,9064,1207
77,14,2023-04-28T14:03:40.323000+00:00,9064,1207
81,10,2023-04-28T14:27:06.711000+00:00,9064,1207
1,9,2023-05-06T20:52:44.988000+00:00,9074,1208
2,20,2023-05-06T20:18:52.290000+00:00,9074,1208
4,16,2023-05-06T20:18:52.290000+00:00,9074,1208
10,5,2023-05-06T20:52:44.988000+00:00,9074,1208
11,1,2023-05-06T20:51:40.599000+00:00,9074,1208
14,2,2023-05-06T20:51:52.474000+00:00,9074,1208
16,7,2023-05-06T20:52:44.988000+00:00,9074,1208
18,18,2023-05-06T20:18:52.290000+00:00,9074,1208
20,4,2023-05-06T20:52:44.988000+00:00,9074,1208
21,15,2023-05-06T20:36:50.083000+00:00,9074,1208
22,17,2023-05-06T20:18:52.290000+00:00,9074,1208
23,11,2023-05-06T20:40:42.189000+00:00,9074,1208
24,14,2023-05-06T20:40:27.626000+00:00,9074,1208
27,12,2023-05-06T20:40:23.486000+00:00,9074,1208
31,8,2023-05-06T20:52:44.988000+00:00,9074,1208
44,13,2023-05-06T20:40:27.626000+00:00,9074,1208
55,3,2023-05-06T20:52:44.988000+00:00,9074,1208
63,6,2023-05-06T20:52:44.988000+00:00,9074,1208
77,10,2023-05-06T20:48:56.821000+00:00,9074,1208
81,19,2023-05-06T20:18:52.290000+00:00,9074,1208
1,1,2023-05-27T15:11:15.606000+00:00,9090,1210
2,16,2023-05-27T14:29:19.134000+00:00,9090,1210
4,10,2023-05-27T15:11:08.028000+00:00,9090,1210
10,7,2023-05-27T15:08:03.327000+00:00,9090,1210
11,20,2023-05-27T14:26:05.199000+00:00,9090,1210
14,2,2023-05-27T15:11:15.606000+00:00,9090,1210
16,3,2023-05-27T15:11:15.606000+00:00,9090,1210
18,14,2023-05-27T14:51:23.682000+00:00,9090,1210
20,17,2023-05-27T14:29:19.134000+00:00,9090,1210
21,12,2023-05-27T14:51:49.650000+00:00,9090,1210
22,9,2023-05-27T15:11:08.028000+00:00,9090,1210
23,13,2023-05-27T14:51:23.682000+00:00,9090,1210
24,19,2023-05-27T14:29:06.041000+00:00,9090,1210
27,18,2023-05-27T14:29:19.134000+00:00,9090,1210
31,4,2023-05-27T15:11:15.606000+00:00,9090,1210
44,6,2023-05-27T15:09:48.669000+00:00,9090,1210
55,5,2023-05-27T15:11:15.606000+00:00,9090,1210
63,8,2023-05-27T15:08:03.327000+00:00,9090,1210
77,15,2023-05-27T14:51:23.682000+00:00,9090,1210
81,11,2023-05-27T14:51:49.650000+00:00,9090,1210
